record_id,customer_id,age,gender,region,employment_status,annual_income,credit_score,loan_type,loan_amount,annual_interest_rate,loan_term_months,loan_status,open_date,last_payment_date,last_payment_amount,balance_remaining,currency,debt_to_income_ratio,risk_band
1,CUST100001,58,Male,North,Unemployed,148393,591,Credit Card,6697,19.68,12,Active,2015-12-22,2015-12-28,491.18,6077.65,USD,0.0501,High
2,CUST100002,63,Other,Central,Student,135574,692,Mortgage,1691334,5.82,240,Closed,2019-06-15,2021-03-12,9388.12,843433.08,USD,1.057,Medium
3,CUST100003,24,Male,West,Employed,208208,790,Mortgage,1630358,4.61,24,Active,2019-11-19,2019-12-24,58223.76,1487874.69,USD,4.106,Low
4,CUST100004,41,Other,South,Employed,44025,773,Mortgage,1893731,3.81,24,Active,2019-11-25,2020-03-20,78322.09,1237130.45,USD,22.3714,Low
5,CUST100005,31,Other,East,Employed,339360,729,Auto,31417,4.62,120,Active,2022-10-25,2025-08-19,257.96,2603.94,USD,0.0116,Medium
6,CUST100006,21,Male,North,Unemployed,230325,669,Credit Card,48049,16.09,360,Active,2020-01-28,2025-08-19,491.87,0.0,USD,0.0338,Medium
7,CUST100007,52,Female,Central,Student,325939,686,Auto,76784,4.73,12,Closed,2025-04-18,2025-04-22,6242.02,70220.21,USD,0.2417,Medium
8,CUST100008,45,Other,North,Student,220078,718,Personal,37256,16.33,12,Active,2023-04-08,2023-06-05,3293.6,9.01,USD,0.1846,Medium
9,CUST100009,59,Female,North,Unemployed,247942,781,Credit Card,12708,18.6,24,Active,2025-05-26,2025-08-19,661.52,0.0,USD,0.0309,Low
10,CUST100010,41,Male,Central,Retired,20299,719,Mortgage,861225,6.08,120,Delinquent,2018-04-28,2018-06-28,10087.35,794053.01,USD,5.6728,Medium
11,CUST100011,49,Male,Central,Self-employed,87314,627,Credit Card,28730,24.54,60,Active,2023-08-20,2024-10-01,917.47,12854.87,USD,0.1148,High
12,CUST100012,51,Female,North,Self-employed,137806,713,Mortgage,248883,5.48,12,Active,2018-03-16,2018-04-13,15221.13,227521.97,USD,1.8601,Medium
